geo,time,GOOGLE_IMPS,LINKEDIN_IMPS,LINKEDINABM_IMPS,DISPLAYABM_IMPS,VIDEOABM_IMPS,AUDIO_IMPS,DISPLAY_IMPS,VIDEO_IMPS,TEADS_IMPS,YOUTUBE_IMPS,CLICKS_GOOGLE,CLICKS_LINKEDIN,CLICKS_LINKEDIN_ABM,CLICKS_ABM_DISPLAY,CLICKS_ABM_VIDEO,CLICKS_AUDIO,CLICKS_DISPLAY,CLICKS_VIDEO,CLICKS_TEADS,CLICKS_YOUTUBE,GOOGLE_SPEND,LINKEDIN_SPEND,LINKEDINABM_SPEND,DISPLAYABM_SPEND,VIDEOABM_SPEND,AUDIO_SPEND,DISPLAY_SPEND,VIDEO_SPEND,TEADS_SPEND,YOUTUBE_SPEND,TOTAL_SPEND,MONTH,TOTAL_IMPS,TOTAL_IMPS_DAY,SAME_DAY_ENTRIES,CONVERSIONS_DAY,conversions,REV_PER_CONVERSION
North America,2024-08-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0
North America,2024-08-14,2803,2029,0,3097,2477,0,65717,14984,15459,21049,285,9,0,2,1,0,56,17,23,41,1503.15,89.11,0,329.25,21.95,0,373.15,21.95,308.02,420.98,3067.56,2024-08,127615,216821,0,79,46,87.19
North America,2024-08-15,5895,4544,0,4170,3517,0,90413,9736,10551,13205,244,23,0,8,3,0,109,12,15,18,986.36,209.52,0,658.5,43.9,0,658.5,21.95,210.3,264.1,3053.13,2024-08,142031,241937,0,71,42,87.19
North America,2024-08-16,1244,1863,0,6033,4452,0,36821,40259,24927,34360,244,11,0,7,1,0,46,40,33,81,729.56,95.78,0,329.25,21.95,0,482.9,43.9,496.92,687.2,2887.46,2024-08,149959,276712,0,58,31,87.19
North America,2024-08-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0
North America,2024-08-18,1878,1152,0,2132,0,0,0,0,0,0,207,9,0,5,0,0,0,0,0,0,1056.64,92.72,0,241.45,0.0,0,0.0,0.0,0.0,0.0,1390.81,2024-08,5162,15686,0,74,24,87.19
North America,2024-08-19,6000,4342,0,456,2726,0,78482,29426,22261,34592,415,14,0,0,0,0,72,33,34,70,1718.9,129.53,0,395.1,43.9,0,768.25,43.9,443.92,691.84,4235.34,2024-08,178285,305200,0,72,42,87.19
North America,2024-08-20,1169,3145,0,8213,8021,0,125173,22908,10648,19993,265,16,0,5,3,0,143,21,14,61,792.35,138.92,0,658.5,43.9,0,570.7,21.95,212.26,399.86,2838.44,2024-08,199270,334332,0,72,43,87.19
North America,2024-08-21,0,0,0,0,0,0,739,21327,13825,14231,0,0,0,0,0,0,1,34,14,22,0.0,0.0,0,0.0,0.0,0,131.7,21.95,275.14,284.62,713.41,2024-08,50122,79072,0,80,51,87.19
North America,2024-08-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0
North America,2024-08-23,4111,4540,0,5050,4423,0,65511,16864,11516,21475,432,19,0,3,2,0,43,15,14,65,2132.52,189.15,0,658.5,43.9,0,395.1,21.95,229.62,429.5,4100.24,2024-08,133490,232094,0,46,26,87.19
North America,2024-08-24,4153,3618,0,7445,5974,0,108038,33187,13037,13177,148,12,0,5,1,0,101,27,22,19,509.12,110.53,0,329.25,21.95,0,790.2,43.9,259.92,263.54,2328.41,2024-08,188629,325576,0,54,31,87.19
North America,2024-08-25,1239,5434,0,8214,6441,0,39275,19654,27449,37544,278,15,0,3,3,0,34,27,32,102,831.22,125.06,0,329.25,21.95,0,373.15,21.95,547.4,750.88,3000.86,2024-08,145250,231894,0,77,48,87.19
North America,2024-08-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0
North America,2024-08-27,2168,3524,0,4198,0,0,0,0,0,0,200,12,0,4,0,0,0,0,0,0,1022.43,121.22,0,241.45,0.0,0,0.0,0.0,0.0,0.0,1385.1,2024-08,9890,20190,0,14,7,87.19
North America,2024-08-28,6307,3908,0,1276,5185,0,81640,25387,31144,35968,354,25,0,1,2,0,66,18,55,62,1484.01,216.07,0,417.05,43.9,0,790.2,43.9,620.52,719.36,4335.01,2024-08,190815,334611,0,20,11,87.19
North America,2024-08-29,1327,2817,0,14195,11556,0,80480,22908,12579,20089,272,14,0,6,5,0,75,27,20,45,813.28,119.92,0,658.5,43.9,0,504.85,21.95,250.82,401.78,2815.0,2024-08,165951,286445,0,11,6,87.19
North America,2024-08-30,0,0,0,0,0,0,31083,19656,16068,15907,0,0,0,0,0,0,21,42,24,26,0.0,0.0,0,0.0,0.0,0,241.45,21.95,319.82,318.14,901.36,2024-08,82714,132655,0,10,6,87.19
North America,2024-08-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0
North America,2024-09-01,2138,3545,0,73,0,0,0,0,0,0,199,12,0,0,0,0,0,0,0,0,1034.36,121.22,0,65.85,0.0,0,0.0,0.0,0.0,0.0,1221.43,2024-09,5756,17248,0,2,1,87.19
North America,2024-09-02,0,0,0,5507,4111,0,25,0,0,0,0,0,0,1,4,0,0,0,0,0,0.0,0.0,0,263.4,21.95,0,21.95,0.0,0.0,0.0,307.3,2024-09,9643,10530,0,2,2,87.19
North America,2024-09-03,0,0,0,0,0,0,65400,0,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0,0.0,0.0,0,263.4,0.0,0.0,0.0,263.4,2024-09,65400,108517,0,7,4,87.19
North America,2024-09-04,0,0,0,0,0,0,557,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,65.85,0.0,0.0,0.0,65.85,2024-09,557,906,0,4,2,87.19
North America,2024-09-05,0,0,0,0,0,0,49,12313,15244,14535,0,0,0,0,0,0,0,10,29,43,0.0,0.0,0,0.0,0.0,0,43.9,21.95,303.86,290.7,660.41,2024-09,42141,77095,0,4,2,87.19
North America,2024-09-06,1387,0,0,0,0,0,0,0,0,7252,115,0,0,0,0,0,0,0,0,8,568.1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,145.04,713.14,2024-09,8639,8926,0,4,4,87.19
North America,2024-09-07,671,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,561.25,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,561.25,2024-09,671,2107,0,1,0,87.19
North America,2024-09-08,0,430,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.0,32.79,0,0.0,0.0,0,0.0,0.0,0.0,0.0,32.79,2024-09,430,1491,0,1,0,87.19
North America,2024-09-09,0,2156,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,47.5,0,0.0,0.0,0,0.0,0.0,0.0,0.0,47.5,2024-09,2156,6522,0,10,3,87.19
North America,2024-09-10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,21.95,0.0,0,0.0,0.0,0.0,0.0,21.95,2024-09,10,1017,0,9,0,87.19
North America,2024-09-11,0,0,0,837,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,109.75,0.0,0,0.0,0.0,0.0,0.0,109.75,2024-09,837,841,0,11,11,87.19
North America,2024-09-12,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,43.9,0.0,0,0.0,0.0,0.0,0.0,43.9,2024-09,68,68,0,6,6,87.19
North America,2024-09-13,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,65.85,0.0,0,0.0,0.0,0.0,0.0,65.85,2024-09,139,140,0,8,8,87.19
North America,2024-09-14,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,21.95,0.0,0,0.0,0.0,0.0,0.0,21.95,2024-09,43,43,0,3,3,87.19
North America,2024-09-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0
North America,2024-09-16,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,43.9,0.0,0,0.0,0.0,0.0,0.0,43.9,2024-09,36,36,0,8,8,87.19
North America,2024-09-17,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,21.95,0.0,0,0.0,0.0,0.0,0.0,21.95,2024-09,18,18,0,6,6,87.19
North America,2024-09-18,0,0,0,0,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,21.95,0,0.0,0.0,0.0,0.0,21.95,2024-09,1099,1318,0,14,12,87.19
North America,2024-09-19,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,21.95,0.0,0.0,0.0,21.95,2024-09,64,275,0,8,2,87.19
North America,2024-09-20,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,21.95,0.0,0.0,0.0,21.95,2024-09,64,3732,0,10,0,87.19
North America,2024-09-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0
North America,2024-09-22,0,0,0,0,0,0,1912,0,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0,0.0,0.0,0,21.95,0.0,0.0,0.0,21.95,2024-09,1912,1912,0,3,3,87.19
North America,2024-09-23,0,0,0,0,0,0,1976,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0.0,0.0,0,21.95,0.0,0.0,0.0,21.95,2024-09,1976,7217,0,12,3,87.19
North America,2024-09-24,0,0,0,0,0,0,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,21.95,0.0,0.0,0.0,21.95,2024-09,312,1010,0,20,6,87.19
North America,2024-09-25,0,0,0,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,21.95,0.0,0.0,0.0,21.95,2024-09,303,626,0,20,10,87.19
North America,2024-09-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0
North America,2024-09-27,0,0,0,0,0,0,10346,0,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0,0.0,0.0,0,43.9,0.0,0.0,0.0,43.9,2024-09,10346,16799,0,8,5,87.19
North America,2024-09-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0
North America,2024-09-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0
North America,2024-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0
North America,2024-10-01,0,0,0,0,0,0,447,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0.0,0.0,0,21.95,0.0,0.0,0.0,21.95,2024-10,447,1102,0,7,3,87.19
North America,2024-10-02,0,0,0,0,0,0,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,21.95,0.0,0.0,0.0,21.95,2024-10,462,552,0,8,7,87.19
North America,2024-10-03,0,0,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,21.95,0.0,0.0,0.0,21.95,2024-10,350,746,0,8,4,87.19
